City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.81,76,78,22.93,TF,1689251271
1,nabire,-3.3667,135.4833,24.89,90,100,0.93,ID,1689251324
2,shingu,33.7333,135.9833,24.75,92,99,2.44,JP,1689251324
3,khandud,36.9513,72.318,25.01,12,0,1.78,AF,1689251325
4,port elizabeth,-33.918,25.5701,21.17,68,0,3.09,ZA,1689251326
5,adamstown,-25.066,-130.1015,21.14,80,32,4.17,PN,1689251272
6,port alfred,-33.5906,26.891,20.66,73,3,0.45,ZA,1689251327
7,sitka,57.0531,-135.33,13.94,77,100,0.0,US,1689251291
8,vilyuchinsk,52.9306,158.4028,11.15,90,11,0.79,RU,1689251328
9,vila franca do campo,37.7167,-25.4333,21.23,79,90,6.13,PT,1689251328
10,gbarnga,6.9956,-9.4722,29.43,65,92,1.38,LR,1689251329
11,melekeok village,7.4957,134.6367,25.31,88,100,0.0,PW,1689251329
12,shimoda,34.6667,138.95,26.72,84,100,6.93,JP,1689251330
13,itaituba,-4.2761,-55.9836,28.09,78,0,0.0,BR,1689251134
14,yanykurgan,43.915,67.2481,42.72,10,1,7.11,KZ,1689251331
15,greymouth,-42.4667,171.2,10.94,92,100,3.04,NZ,1689251332
16,west island,-12.1568,96.8225,26.99,78,75,6.17,CC,1689251332
17,alofi,-19.0595,-169.9187,24.75,85,67,6.56,NU,1689251333
18,margaret river,-33.95,115.0667,13.89,65,100,6.51,AU,1689251333
19,jamestown,42.097,-79.2353,22.77,94,100,4.12,US,1689251248
20,grand-bassam,5.2118,-3.7388,24.98,81,99,4.04,CI,1689251334
21,papatowai,-46.5619,169.4708,10.5,86,100,7.15,NZ,1689251288
22,olonkinbyen,70.9221,-8.7187,5.21,99,100,7.43,SJ,1689251335
23,dryden,49.7833,-92.7503,15.16,82,40,3.09,CA,1689251199
24,arno,60.1167,18.6333,18.77,50,59,3.58,SE,1689251336
25,waitangi,-43.9535,-176.5597,7.12,70,94,12.54,NZ,1689251282
26,utrik,11.2278,169.8474,28.21,80,53,7.91,MH,1689251337
27,albany,42.6001,-73.9662,23.36,87,100,1.65,US,1689251300
28,muncar,-8.4333,114.3333,24.27,87,99,2.53,ID,1689251338
29,moyale,3.5167,39.0584,25.95,40,70,7.99,KE,1689251339
30,port saint john's,-31.6229,29.5448,19.36,58,1,2.84,ZA,1689251339
31,kulhudhuffushi,6.6221,73.07,28.12,77,60,5.9,MV,1689251340
32,whitehorse,60.7161,-135.0538,9.43,94,20,4.12,CA,1689251065
33,geraldton,-28.7667,114.6,18.23,82,75,4.12,AU,1689251277
34,edinburgh of the seven seas,-37.0676,-12.3116,14.67,94,94,14.83,SH,1689251298
35,blackmans bay,-43.0167,147.3167,13.18,57,100,4.71,AU,1689251278
36,linxia chengguanzhen,35.6003,103.2064,13.26,80,100,1.39,CN,1689251342
37,coquimbo,-29.9533,-71.3436,10.85,76,0,3.09,CL,1689251343
